;n;f1-score;accuracy;classifier;time
0;0;0.6855786748793601;0.6777203022965734;RandomForestClassifier;8.261594124996918
1;0;0.7217261904761904;0.7106549759092132;KNeighborsClassifier;7.950049208000564
2;0;0.7184541300630157;0.7136950620001468;SVC;7.916195707999577
3;0;0.6902192195559542;0.6827928192334972;MLPClassifier_HLs(100);8.456236374997388
4;1;0.7324879901910714;0.7254555237606085;RandomForestClassifier;8.517634959000134
5;1;0.7045425797170428;0.6947538337368845;KNeighborsClassifier;8.965888750000886
6;1;0.7281947002488196;0.7206434808129724;SVC;8.543672042000253
7;1;0.7188716493016721;0.7095445985276494;MLPClassifier_HLs(100);7.669199957999808
8;2;0.7620421245421245;0.7559615525717222;RandomForestClassifier;9.636330167002598
9;2;0.7302600259121997;0.7207425343018564;KNeighborsClassifier;7.759322666999651
10;2;0.7541455448576191;0.7512656834690733;SVC;7.764853958000458
11;2;0.7373517846339989;0.7303543913713405;MLPClassifier_HLs(100);7.388708124999539
12;3;0.6977377465078;0.6961412151067323;RandomForestClassifier;8.484458417002315
13;3;0.708298021360352;0.6986266606956262;KNeighborsClassifier;9.208619749999343
14;3;0.7058642678480819;0.6956386525352043;SVC;8.814142125000217
15;3;0.6554818766556395;0.6466761208140519;MLPClassifier_HLs(100);8.874064416999317
16;4;0.6456533347949027;0.6344130964820619;RandomForestClassifier;8.72564754099949
17;4;0.7055616844404329;0.6926854754440961;KNeighborsClassifier;6.789792833998945
18;4;0.6938692407224915;0.6829949743742848;SVC;8.931487458001357
19;4;0.703962212869975;0.6922276956759715;MLPClassifier_HLs(100);7.277193207999517
