classifier;f1-score;accuracy;time
KNeighborsClassifier;0.7236590465383006;0.7197869070263667;8.839881566599797
MLPClassifier_HLs(100);0.702717326544488;0.699805137176534;8.769464508399688
RandomForestClassifier;0.6740473970746998;0.672263766850639;9.156873274598912
SVC;0.6946293401422569;0.6927074978588029;9.445903274799639
