;n;f1-score;accuracy;classifier;time
0;0;0.7264775991452953;0.71983228635771;RandomForestClassifier;8.708028000000922
1;0;0.7770712197798977;0.7701607008810399;KNeighborsClassifier;7.359484249998786
2;0;0.7548008621481446;0.7508156038876378;SVC;8.82934687499801
3;0;0.6791335113806506;0.6723476205997392;MLPClassifier_HLs(100);9.531812833000004
4;1;0.6890352098400762;0.6879124935798664;RandomForestClassifier;9.197204832998978
5;1;0.7184493301641872;0.7162857798980681;KNeighborsClassifier;10.317336167001486
6;1;0.7432545206600476;0.7403489342578325;SVC;10.193701332998899
7;1;0.7055484684270686;0.7038440549563431;MLPClassifier_HLs(100);9.389700290998007
8;2;0.6364746255933875;0.6409611927620402;RandomForestClassifier;8.499057125001855
9;2;0.7604503171221807;0.7609833669155702;KNeighborsClassifier;8.500047958998039
10;2;0.7265420026423665;0.724525033582237;SVC;8.070118042000104
11;2;0.7379806693733831;0.7363352396191379;MLPClassifier_HLs(100);7.682345584002178
12;3;0.63518771448832;0.6404177037651614;RandomForestClassifier;9.342314000001352
13;3;0.6621152384103869;0.6604095057484889;KNeighborsClassifier;10.61462520799978
14;3;0.6508909324713863;0.6522414908537789;SVC;8.977796208000655
15;3;0.6691582101367587;0.6653410325550156;MLPClassifier_HLs(100);9.263776125000732
16;4;0.6561540778547797;0.6593089467030144;RandomForestClassifier;9.70442974999969
17;4;0.6638322798252189;0.6587391598514479;KNeighborsClassifier;9.100218458002928
18;4;0.6936568142390663;0.6901297854687686;SVC;7.900842250001006
19;4;0.6524750197014851;0.6474192297815179;MLPClassifier_HLs(100);8.629100209000171
20;5;0.6613247927588293;0.6586197700604481;RandomForestClassifier;12.363674542000808
21;5;0.73555669470989;0.7313758099245387;KNeighborsClassifier;9.587475999996968
22;5;0.7376936534367557;0.7355681571253605;SVC;10.709855458000675
23;5;0.7306687150263377;0.7275676830231914;MLPClassifier_HLs(100);10.580286833002901
24;6;0.6375485413163899;0.6325882274505156;RandomForestClassifier;10.395032208001794
25;6;0.6484459117713621;0.6440573021611157;KNeighborsClassifier;9.091415582999616
26;6;0.7131600335744549;0.7112798042353127;SVC;9.303708583000116
27;6;0.6985361519253803;0.692940569317688;MLPClassifier_HLs(100);8.880572165999183
28;7;0.6703376281895509;0.6702792264232942;RandomForestClassifier;8.616045957998722
29;7;0.7061732601872007;0.7077434218324049;KNeighborsClassifier;7.856724625002244
30;7;0.6854118239233008;0.6841179477302359;SVC;9.504741083001136
31;7;0.7050273050644704;0.7005879360752242;MLPClassifier_HLs(100);8.327483333003329
32;8;0.6728383288074508;0.6704663980087708;RandomForestClassifier;10.559171124998102
33;8;0.7109271190389089;0.7082007328829363;KNeighborsClassifier;9.460178375000396
34;8;0.7581118949981469;0.7535561366599501;SVC;7.708257083999342
35;8;0.7218291062494899;0.7214111453518233;MLPClassifier_HLs(100);8.460830042000453
36;9;0.5824225790283674;0.5835653223894749;RandomForestClassifier;9.17812295800104
37;9;0.6701078370568926;0.6682541681482359;KNeighborsClassifier;9.857514832998277
38;9;0.6954113318587436;0.6940589071945005;SVC;9.036111708002863
39;9;0.7025234518668333;0.7018357877997708;MLPClassifier_HLs(100);9.288189750001038
