;n;f1-score;accuracy;classifier;time
0;0;0.758138597071718;0.7593617714099642;RandomForestClassifier;8.950629416998709
1;0;0.7194938528591788;0.718088570498209;KNeighborsClassifier;7.318315333999635
2;0;0.7371143158266835;0.7346955389124064;SVC;6.455080415998964
3;0;0.7452229299363057;0.7443829371540215;MLPClassifier_HLs(100);6.28148125000007
4;1;0.7514713445610867;0.751460564751704;RandomForestClassifier;9.318549666000763
5;1;0.6941186202332699;0.6944173969490426;KNeighborsClassifier;7.01975937500174
6;1;0.6673044403172664;0.668370658876988;SVC;8.604429415998311
7;1;0.6875176781158318;0.687682570593963;MLPClassifier_HLs(100);9.732026125002449
8;2;0.7049825894270338;0.7046052631578947;RandomForestClassifier;9.639512666999508
9;2;0.6665022740972109;0.6674342105263158;KNeighborsClassifier;9.021924832999503
10;2;0.7051282051282052;0.7049342105263158;SVC;9.35972029199911
11;2;0.6665020576131687;0.6661184210526316;MLPClassifier_HLs(100);9.590761125000427
12;3;0.7226051973005855;0.7206657877389585;RandomForestClassifier;9.970023875001061
13;3;0.7373416486575138;0.737475280158207;KNeighborsClassifier;7.546856332999596
14;3;0.7565305476416588;0.7564271588661833;SVC;6.342353500000172
15;3;0.6924596391263058;0.6921555702043507;MLPClassifier_HLs(100);8.593111375001172
16;4;0.7180878193536422;0.7191825972313777;RandomForestClassifier;6.935859249999339
17;4;0.7097031134541011;0.707811470006592;KNeighborsClassifier;7.557123375001538
18;4;0.6726313950348639;0.6712261041529334;SVC;7.2148684580024565
19;4;0.6597934105264273;0.6583717864205669;MLPClassifier_HLs(100);9.900281999998697
