;n;f1-score;accuracy;classifier;time
0;0;0.9218139583993241;0.9213900134952766;RandomForestClassifier;6.007671709000078
1;0;0.8549371369752223;0.8556005398110661;KNeighborsClassifier;4.760082750000038
2;0;0.9609598924667416;0.9605263157894737;SVC;5.00417887499998
3;0;0.8948247375059961;0.8947368421052632;MLPClassifier_HLs(100);5.729057042000022
4;1;0.8828314542600256;0.8774305555555555;RandomForestClassifier;6.260321708999982
5;1;0.8581610142784418;0.86875;KNeighborsClassifier;5.608624666000196
6;1;0.8581171599074413;0.8642361111111111;SVC;6.077005874999941
7;1;0.8707879957879958;0.8888888888888888;MLPClassifier_HLs(100);5.719266291000167
8;2;0.9475927033492823;0.9505376344086022;RandomForestClassifier;5.489124958000048
9;2;0.8956214064573198;0.9060931899641578;KNeighborsClassifier;4.746961833000114
10;2;0.9216089907644375;0.9283154121863799;SVC;5.526324500000101
11;2;0.9216089907644375;0.9283154121863799;MLPClassifier_HLs(100);6.0367127500003335
12;3;0.8185625353706847;0.8244047619047619;RandomForestClassifier;5.981710166000084
13;3;0.8533598146309169;0.8333333333333333;KNeighborsClassifier;5.436706375000085
14;3;0.8959572845156368;0.9017857142857143;SVC;6.039695917000245
15;3;0.8517508097558982;0.8258928571428572;MLPClassifier_HLs(100);4.841490917000101
16;4;0.8944419873212442;0.89198606271777;RandomForestClassifier;5.099637208999866
17;4;0.8933911483253589;0.8878048780487805;KNeighborsClassifier;4.839759209000022
18;4;0.8944419873212442;0.89198606271777;SVC;5.255873750000319
19;4;0.9077821583818109;0.9062717770034843;MLPClassifier_HLs(100);5.96694291599988
