classifier;f1-score;accuracy;time
KNeighborsClassifier;0.8159964582232373;0.8203383458646616;5.494952808200014
MLPClassifier_HLs(100);0.7970902643659501;0.8027474937343358;5.336306633299955
RandomForestClassifier;0.799913932736966;0.8007424812030075;5.695406770699947
SVC;0.8612267207956288;0.8626190476190476;5.148345233399914
