;n;f1-score;accuracy;classifier;time
0;0;0.9121496070146746;0.9125448028673836;RandomForestClassifier;5.516209750000144
1;0;0.8898320680929376;0.8917562724014337;KNeighborsClassifier;5.360051707999901
2;0;0.923478736822065;0.9232974910394266;SVC;4.916176040999744
3;0;0.8657594313068498;0.8702508960573477;MLPClassifier_HLs(100);6.317276958000093
4;1;0.8685571222256006;0.8684587813620072;RandomForestClassifier;6.99118820800004
5;1;0.8657444005270093;0.8702508960573477;KNeighborsClassifier;5.024094999999761
6;1;0.9239275780108;0.9243727598566309;SVC;5.164158500000212
7;1;0.9019957234497504;0.9021505376344087;MLPClassifier_HLs(100);4.969670791000226
8;2;0.84375;0.8483870967741934;RandomForestClassifier;6.059959250000247
9;2;0.8749370584526098;0.8817204301075269;KNeighborsClassifier;6.025184582999827
10;2;0.9104315973881192;0.9136200716845878;SVC;5.4967598749999524
11;2;0.8536751292186074;0.8594982078853047;MLPClassifier_HLs(100);5.836365375000241
12;3;0.8896820643205515;0.8906810035842293;RandomForestClassifier;6.208168000000114
13;3;0.8605096826250672;0.8706093189964158;KNeighborsClassifier;5.273192834000383
14;3;0.9011071837527462;0.9017921146953404;SVC;6.7955871670001216
15;3;0.8854039479039479;0.8921146953405018;MLPClassifier_HLs(100);5.869886375000078
16;4;0.8792752914532773;0.8794957360029664;RandomForestClassifier;5.4188632499999585
17;4;0.8477955284677974;0.8602150537634409;KNeighborsClassifier;5.704958540999996
18;4;0.883966194062348;0.8924731182795699;SVC;5.102530707999904
19;4;0.7786558609594673;0.7934742306266221;MLPClassifier_HLs(100);6.838236209000115
