;n;f1-score;accuracy;classifier;time
0;0;0.757123556865635;0.7470862470862472;RandomForestClassifier;6.132315709000977
1;0;0.7453715775749674;0.7348484848484849;KNeighborsClassifier;4.332777250001527
2;0;0.7891142297921959;0.7773892773892774;SVC;5.1550545419995615
3;0;0.87781647447308;0.8653846153846154;MLPClassifier_HLs(100);4.578876500003389
4;1;0.8463862144908557;0.8420138888888888;RandomForestClassifier;5.07864841600167
5;1;0.7872402448673635;0.7806712962962963;KNeighborsClassifier;4.654372790999332
6;1;0.8972283150548355;0.8917824074074074;SVC;5.657374792001065
7;1;0.7475468331846566;0.7436342592592593;MLPClassifier_HLs(100);5.598693334002746
8;2;0.7768630616088243;0.798951048951049;RandomForestClassifier;5.000332332998369
9;2;0.7400063959066198;0.7686480186480187;KNeighborsClassifier;5.630098624998936
10;2;0.8125941416475337;0.8292540792540792;SVC;5.85422595899945
11;2;0.7400063959066198;0.7686480186480187;MLPClassifier_HLs(100);6.14320837500054
12;3;0.7564307078763708;0.7655172413793103;RandomForestClassifier;4.833828415998141
13;3;0.7886198547215496;0.8;KNeighborsClassifier;4.67104874999859
14;3;0.8290371939736346;0.832183908045977;SVC;4.468113999999332
15;3;0.7338774805341244;0.7494252873563219;MLPClassifier_HLs(100);4.455225708999933
16;4;0.7909732392491013;0.7714646464646464;RandomForestClassifier;4.822052457999234
17;4;0.7154133776485251;0.6767676767676768;KNeighborsClassifier;5.540282250000018
18;4;0.7909732392491013;0.7714646464646464;SVC;4.96099566599878
19;4;0.8206058913862907;0.7904040404040404;MLPClassifier_HLs(100);4.322462332998839
