;n;f1-score;accuracy;classifier;time
0;0;0.9058353604599735;0.9021727845754541;RandomForestClassifier;6.0396465830017405
1;0;0.7578965188009127;0.7636781609195401;KNeighborsClassifier;5.13139562500146
2;0;0.8817766134793998;0.8773451983685576;SVC;5.97309800000221
3;0;0.8628923089885274;0.8551724137931034;MLPClassifier_HLs(100);5.552360541998496
4;1;0.8099942952009179;0.8044197256210605;RandomForestClassifier;5.690013375002309
5;1;0.753742727860375;0.7569892473118279;KNeighborsClassifier;6.127770499999315
6;1;0.852707031530561;0.847741935483871;SVC;4.891799875000288
7;1;0.83641299876594;0.8318279569892474;MLPClassifier_HLs(100);4.907036333002907
8;2;0.8614046422953309;0.8559139784946237;RandomForestClassifier;6.0293631669992465
9;2;0.8430440978832417;0.84;KNeighborsClassifier;5.855971625001985
10;2;0.8636892254737892;0.8577530589543937;SVC;4.794026915998984
11;2;0.8469683257918552;0.8425806451612904;MLPClassifier_HLs(100);5.003960292000556
12;3;0.7932689493707931;0.7869484612532444;RandomForestClassifier;5.040618041999551
13;3;0.7688662471134196;0.7759139784946236;KNeighborsClassifier;5.496648207998078
14;3;0.7951445473825205;0.792183908045977;SVC;5.851086167000176
15;3;0.8062904177746187;0.8044197256210605;MLPClassifier_HLs(100);5.404553792002844
16;4;0.8866161301919142;0.8777777777777778;RandomForestClassifier;5.621555333000288
17;4;0.8179145532086709;0.8111111111111112;KNeighborsClassifier;5.237346375000925
18;4;0.8982142857142857;0.8888888888888888;SVC;5.349102916999982
19;4;0.8442953442953444;0.8361111111111111;MLPClassifier_HLs(100);5.263603333001811
