;n;f1-score;accuracy;classifier;time
0;0;0.41638275422514165;0.4059682907152128;RandomForestClassifier;7.05277183400176
1;0;0.43422220684465246;0.4330397856817145;KNeighborsClassifier;8.901956082991092
2;0;0.4140162601626017;0.41501587218071484;SVC;8.74372912500985
3;0;0.372855747427176;0.3564444561366586;MLPClassifier_HLs(100);9.053161375006312
4;1;0.43432299400739866;0.4219818741450068;RandomForestClassifier;8.633617750005214
5;1;0.44402370700982574;0.43638631660177485;KNeighborsClassifier;5.981955333991209
6;1;0.3869535951853025;0.3766628520817987;SVC;6.5202564999926835
7;1;0.4266462111793211;0.4241621067031463;MLPClassifier_HLs(100);7.097416333010187
8;2;0.4848596754719203;0.4844040478445403;RandomForestClassifier;8.050653832993703
9;2;0.426288053394795;0.4238014749728156;KNeighborsClassifier;5.862350208000862
10;2;0.5054968944099378;0.5005524571188046;SVC;5.855542208999395
11;2;0.4478427312954167;0.4514056964467361;MLPClassifier_HLs(100);7.357232916998328
12;3;0.4925999135611952;0.4922612157564278;RandomForestClassifier;6.8570682919962564
13;3;0.4312082911423729;0.41550804132028485;KNeighborsClassifier;9.07180404200335
14;3;0.5065480109094329;0.513768678312112;SVC;6.8540504580014385
15;3;0.45555088014587275;0.44545472482373993;MLPClassifier_HLs(100);7.4910809169959975
16;4;0.5013944562899787;0.5067577343996633;RandomForestClassifier;6.928614625008777
17;4;0.4896236312706901;0.5043538882458171;KNeighborsClassifier;7.616939250001451
18;4;0.39348588110260585;0.4116178224420358;SVC;6.090203540996299
19;4;0.3646308954203691;0.36357378371742255;MLPClassifier_HLs(100);7.477943334000884
20;5;0.46358941105729545;0.46721649303728646;RandomForestClassifier;7.140415000001667
21;5;0.4236577594358207;0.4222624872847171;KNeighborsClassifier;5.861571375004132
22;5;0.4448533248309384;0.44464905819214984;SVC;5.9887585419928655
23;5;0.42882509920446654;0.4268794503490126;MLPClassifier_HLs(100);6.021663750012522
24;6;0.4691539115646259;0.46638013434354064;RandomForestClassifier;8.773294500002521
25;6;0.41526004437521036;0.41644414921603706;KNeighborsClassifier;6.73580516698712
26;6;0.3664506921649779;0.3727649601880108;SVC;8.223330833992804
27;6;0.4053030838964386;0.4030602178259497;MLPClassifier_HLs(100);7.854653332993621
28;7;0.4786874160322437;0.48719921779087305;RandomForestClassifier;8.439891457994236
29;7;0.5057074976414719;0.497238810551054;KNeighborsClassifier;7.744184459006647
30;7;0.49594339078991295;0.5129958960328318;SVC;6.826612792006927
31;7;0.43856843484898345;0.4413354116243993;MLPClassifier_HLs(100);8.223367999991751
32;8;0.41290260554184693;0.3946418236346417;RandomForestClassifier;9.054769499998656
33;8;0.4051186144129345;0.3953444526289943;KNeighborsClassifier;8.80307824999909
34;8;0.30407139870444716;0.2949485250271844;SVC;9.357896083005471
35;8;0.4420037967340046;0.43111933950682246;MLPClassifier_HLs(100);9.226659167004982
36;9;0.4582802392586814;0.4596092462029534;RandomForestClassifier;9.33251616700727
37;9;0.41095902544204466;0.4001543372268407;KNeighborsClassifier;8.276396417000797
38;9;0.32445867834142317;0.32159142726858186;SVC;8.54354366599
39;9;0.40588624004177815;0.4008142165631906;MLPClassifier_HLs(100);9.047298207995482
