;n;f1-score;accuracy;classifier;time
0;0;0.7564468565433579;0.7580595091006266;RandomForestClassifier;9.818943499999932
1;0;0.7792127806551323;0.7803951501586255;KNeighborsClassifier;9.13225708300024
2;0;0.8612675815800588;0.8618519898051853;SVC;9.596030665999933
3;0;0.8109535218342657;0.8112473737688956;MLPClassifier_HLs(100);9.245122834000085
4;1;0.7738877920548491;0.7784435950939411;RandomForestClassifier;10.498381916999733
5;1;0.8176865625201164;0.8196484396526902;KNeighborsClassifier;8.91452716699996
6;1;0.8278955914466325;0.8322448312608811;SVC;9.623129209000126
7;1;0.8033914290025652;0.8061636417114794;MLPClassifier_HLs(100);8.526099749999958
8;2;0.7734281973417628;0.7756954070833485;RandomForestClassifier;9.777920957999868
9;2;0.778620504104327;0.7777821459980688;KNeighborsClassifier;9.723986749999767
10;2;0.8116783503668065;0.8126658361205703;SVC;8.781416541999988
11;2;0.788871236744609;0.7916962387707527;MLPClassifier_HLs(100);9.588055166999766
12;3;0.7490613081372905;0.7491820964423704;RandomForestClassifier;11.539458166999793
13;3;0.8127886371083556;0.8118003001564645;KNeighborsClassifier;9.544632042000103
14;3;0.7976136333457269;0.7989986041355904;SVC;9.623553291999997
15;3;0.7876109688587989;0.7866723459189213;MLPClassifier_HLs(100);8.53579079200017
16;4;0.7555358892652173;0.7619491452117705;RandomForestClassifier;10.034232542000154
17;4;0.7960263355122236;0.800249694348953;KNeighborsClassifier;8.709465375000036
18;4;0.7850972351649737;0.7894190415842699;SVC;9.42982933300027
19;4;0.8138568809260274;0.8164892428214428;MLPClassifier_HLs(100);9.417963041999883
